contract_address,token_id,ipfs_cid,name,description
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,18193,QmPTphnQqXyNAHnTHwZcqW7Y6kpzFbdeTaq7RQJQJ27iuS,Podmork HOD Vr5 ASTRO,"Podmork HOD Vr5 has a friend, Astro, and they met here:
https://superrare.co/artwork-v2/lol-18191
https://superrare.co/artwork-v2/dance-18192

A fun collaboration with mbsjq

The Podmork(s) are the primordial totemic figures at the center of Hackatao’s imaginative research. They play as explorers of the two artists’ inner worlds, who draw on their surface philosophical reflections as metaphors. Podmork HOD VR will be only 13+(0), all different. Thanks Leandro Bellone for 3D texturing."
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,18191,QmUJ9ZBw3uxNKfUhaWVAecF2Jap5cKmGs8vFtRVAbjg4a7,LOL,"Rendezvous on MORK - LOL version by Hackatao and mbsjq
Feat Astro in giggles from [Astro & The Universe Series]

Music by LilSiri"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,17704,QmWPHLrPHWTDtYrEtE7oma2CFwZHLjdoHN3NPh5tMxs1ni,The Scapegoat,"""When there’s conflict, groups of humans tend to come together by rallying around the exiling of a scapegoat. The scapegoat tends to be an individual or group that is part of the group but easily stands out for some obvious reason. Exiling has evolved over time. In ancient times, stoning to death was a common form of exiling a scapegoat. Today cancelling people online is a more subtle form of the same phenomenon. 

We can all benefit from recognizing that scapegoating is wrong and our “rivals” are just humans too. Hackatao is a true pioneer of cryptoart and it has been fun conveying this message with them"".
Nick Tomaino"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,17083,QmTvMTGKHEkkvLWiS7sgHVGsrUSnjKLGuxouhgXsTFqFAa,Alice in CryptoLand,"It’s always late for Metaverse date.
Welcome everybody to the biggest illusion of humanity: time.

Read or listen to Eleonora Brizi's article:
https://editorial.superrare.co/2020/12/09/alice-in-cryptoland/"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,14991,QmYjD5SKpgV2CwWnzEHsyHk1PHpqKjGqkm45YkxLrGxejm,EradiGirl,"This artwork is exhibited at Renaissance 2.0 2.0 curated by Eleonora Brizi. 
Music by LilSiri.eth

Despite everything, we live in the most incredible of times. 
You just need to know how to live it. 
A multicultural society (in spite of contrary forces), where knowledge is within everyone's reach (in spite of misinformation), where creativity is increasingly appreciated, where possibilities exist ready to be seized. 

Our little green-haired girl (representing nature), wears a strong, disruptive message on her T-shirt, the desire to be the protagonist of this era. 
Just as the Renaissance man is the creator of his own destiny, so too is the new generation Z. Made resilient by all the crises they are living through, they will be the ones who will react best and will be able to learn to flourish, without prejudice, in nature again. "
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,14970,QmWDPdFVsGSeA3HkiamxjQCheFRBFfgXt1LpQuXj7DnLLp,Untitled Dreams,"This artwork is exhibited at Renaissance 2.0 2.0 curated by Eleonora Brizi


A sleeping child produces beauty. 

10 minutes before sleeping, the child was jumping, running and playing. We look at her now and remark: “How peaceful”. 

But in her mind the game continues more fantastical and absurd than when awake. Her mind is populated with unicorns, ice creams, rainbow stars, games... these imaginary worlds exist between order and chaos. 
And we continue to look at her sighing: ""What peace""...

The podmork, always vigilant and attentive, admires the making and unmaking of its dreamlike coils. ""Let her go, I'll watch her"".

When the morning comes the cycle begins again.

So when the world stops, be it wars, epidemics, economic crises or natural disasters, creative energy accumulates in calculating minds ready to explode into a new Renaissance.

Let's all sleep a little more.

This piece is inspired by ""The sleep of reason generates monsters"" by Francisco Goya translated into ""The sleep of a child produces beauty"".
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,14959,QmYJ8MU97Hi1pv2BKFnhgBAL7oqbScWpUxKdXdCHDWqdm9,Mater sive Natura,"In the previous Renaissance, man had escaped the Dues, and had placed himself at the centre of the universe creating considerable harm. 
In Renaissance 2.0, the human being has to be relocated ""inside"" Nature. The quintessential habitat is natural, rather than unnatural. 

Remember well, Nature always wins.

Artwork exhibited at Renaissance 2.0 2.0 curated by Eleonora Brizi. 
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,14362,QmdGsjNf4VGkZUryqNkWjYXkACEYDNsppQtqPqCHHtcqRa,Judith slaying Holofernes,"Judith and Holofernes is for us an exemplary piece that well represents the multi-layered sense and meaning of our artworks. So much so that it also amazes us with its countless levels of interpretation.
East vs West, feminism, feminicide, monotheism vs polytheism, to name but a few.
The artwork is inspired by the works of both Caravaggio and Artemisia Gentileschi. We liked the idea of representing Judith with bare breasts, as appears to be Caravaggio's first intention. While Holofernes, cyclopean and dressed in a terrorist balaclava, represents, at least for us, unique thought disguised as terror.
Our Judith performs an act of conscious liberation from a patriarchal value system and is dominated by a unique vision that does not accept diversity. Therefore, it’s an affirmation of multi-cultural and polytheist western thought in its Greek origin. This is as far as the reading ""at a distance"" of the whole work is concerned since when we enter into the narratives drawn here, the meanings pass on to other levels. We prefer not to provide too many keys to reading since we would like the ""reader"" to arrive at their own personal interpretation of the work.
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,14137,QmT4k2ysm19UVodhWyPBLTzAJUax9jZAeo7UMj86dmVA5z,Lady without an Ermine,"Values change. Humanity remains the same. 
A work inspired by Lady with an Ermine by Leonardo da Vinci.
Commissioned by Kaizer."
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,13749,Qma3VmHG9yKNeFW2wuLowaYsjbMwhvZ4YxemXYYBs45C5P,Podmork HOD VR4 Tribal,"In the end we always gather in small tribes.

The Podmork(s) are the primordial totemic figures at the center of Hackatao’s imaginative research. They play as explorers of the two artists’ inner worlds, who draw on their surface philosophical reflections as metaphors. Podmork HOD VR will be only 13+(0), all different. Thanks Leandro Bellone for 3D texturing.
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,13189,QmcAnyvfc9mXHa8zven6FM5rgACbczjHmDKr1pUTFaEyRa,Podmork HOD VR3 Kawaii,"Add joy to this sad world.

The Podmork(s) are the primordial totemic figures at the center of Hackatao’s imaginative research. They play as explorers of the two artists’ inner worlds, who draw on their surface philosophical reflections as metaphors. Podmork HOD VR will be only 13+(0), all different. Thanks Leandro Bellone for 3D texturing."
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,12946,QmVyvDMBBXE5JkuZ8SdRH94CFEm6NvhTywML6D21PBhsTe,I don't tell anyone,"""Especially to you""

This is an authorized remix of this avastar: https://opensea.io/assets/0xf3e778f839934fc819cfa1040aabacecba01e049/4392

"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,12791,Qmb9jXetag5mvxy6EVUJth1jE73fHFvwQD9xKfSjhqsHBt,In a suspended time,"落花枝にかへると見れば胡蝶哉

""fallen blossom
returning to the branch?
ah, no—a butterfly""
 - Moritake - 

A 6-handed artwork  Hackatao and Undeadlu"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,12534,QmaxM3Z5q4Z6nvmxeygfugt6DKSjXYnPjA7cbPjoKeWtKL,Podmork HOD VR2 Cthulhu,"“Ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn"".

The Podmork(s) are the primordial totemic figures at the center of Hackatao’s imaginative research. They play as explorers of the two artists’ inner worlds, who draw on their surface philosophical reflections as metaphors. Podmork HOD VR will be only 13+(0), all different. Thanks Leandro Bellone for 3D texturing.
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,12293,QmbmkuueeLEBZSjsjkQNpw97JthuhcLhS1MWN2prKyFF9R,THE archetype,"Eros, the drive of life and love and Thanatos, the drive of death and destruction; opposite forces of same strength, that cannot exist without each other. 
In the eternal battle for prevalence between the two, we will never see a winner. 

Being born to die, dying to be reborn.

In Hackatao’s “THE archetype”, this beautiful girl is in perfect balance between a heart and a skull. 
Her attitude towards both love and death is slightly different, but she keeps moving with grace - and no rules - in what she knows to be her eternal dance. 

“Yet each man kills the thing he loves""

Read full article by Eleonora Brizi on Artsy: https://www.artsy.net/breezy-art/article/breezy-art-launch-new-digital-art-iece-hackatao"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,12126,QmUwURb9szQCPDNuK5g3E3n7dPkHdN2KJj9jmzMaV9Hh5r,Podmork HOD VR1,"After Zero comes One, but One is the second of the natural numbers and it's not even a prime number. According to Pythagoras, One is the Sun, the one who gives life, it is the Beginning of everything. 
And here it is, the Podmork Hod Vr1, in all its primordial totemic force. 

The Podmork(s) are the primordial totemic figures at the center of Hackatao’s imaginative research. They play as explorers of the two artists’ inner worlds, who draw on their surface philosophical reflections as metaphors. 

Podmork HOD VR will be only 13+(0), all different.


Thanks Leandro Bellone for 3D texturing.
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,11935,QmWSZnZh9g68XDV8bV9QhCaBVhi1kh7wtrV3qCrgffMUDy,Crazy Diamond $1M,"Crazy Diamond $1M  signed Hackatao and Oficinas TK is a homage to what SuperRare has been doing and to celebrate the first 1milion $ earned by the artists on the platform in the past two years. 
This is the second of the “Diamonds series”, by the two artists’ collaboration. The first was created to celebrate the intense activity on SuperRare by the end of 2019. 

Read full article: https://editorial.superrare.co/2020/07/16/crazy-diamond-1m/"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,11693,QmRkucKdtpwryFHBuE6Y2eQMjwP1D2XejXbjmAB5tonHa5,Love Only,"The horned creature who rejected ugly things and only let love strike him down.

1080x1920px fit for Meural"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,11377,QmemwHQvVbmEDzTtxx44Kr3Cegv5Wi6YnrLFgFRhijoKfU,Podmork HOD VR0,"The Podmork(s) are the primordial totemic figures at the center of Hackatao’s  imaginative research.
They play as explorers of the two artists’ inner worlds, who draw on their surface philosophical reflections as metaphors. 

So far made in resin ceramic and pixels (on Pixelchain), the dream of seeing them existing in virtual worlds, created in 3D and tokenized on SuperRare has now come true. 

So here it is, Podmork HOD VR0, the ""Block 0"" of this new digital series.

Exhibition: AETHER: SUPERRARE EXHIBITION
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,11144,QmWUneJxEDBUYvBzZDjuwgScnAb7A5Ujpmdnds9FU5XRHk,Pink Bear,"What is Pop in 2020? Cinema, music and comics have already largely had their place in Pop Art. We thought to explore the world of video games and their growing popularity, finding in Fortnite the most Pop of all. The question is: “Is Fortnite the ultimate pop art?”

In the study of the work we were seduced by the colours and the tender but lethal expression of the legendary outfit Cuddle Team Leader (aka Pink Bear), which appeared for the first time in Fortnite on 02/10/2018. Immediately becoming the inspiring legend of an animated miniseries in The Looney Tunes Show style. Pink bear is not new in the popular imagination of our generation, we think of the pink bear floating in Walter White’s pool in the Breaking Bad TV series (to which we dedicated an artwork).

But we didn’t stop at the simple reproduction of a pink bear. As it appears in the making off video, art history has inspired an interesting connection with Saturn devours his children by Goya. So we added a deeper thought: do video games devour our children’s lives? Our non-answer is: get eaten by fun."
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,11115,QmNNM6SvyuEPP1Vuftmk32gsfS8fpUBac4JJYNRNt92Tsm,Cthulhu-R'Lieh,Ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn!
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,10858,QmNrPSKvYhYAqCkEWvfbrGCJNXkeyXXZ4kPh5WC7jKeigW,Hedy Lamarr,"One of the most iconic actresses of the Golden-age of Cinema,  Hedy Lamarr was also a scientist, who co-invented an early technique for the spread of spectrum communications — the key to many wireless communications that we use today. She is called ""the Mother of WI-FI ""
Her life can be considered an example of how one can be many things at the same time: artist, scientist, innovator.

The Hedy Lamarr’s GIF is created from the physical canvas ""Hedy Lamarr"", 2012 and it is included in our catalog ""Deformography"". 

“The brains of people are more interesting than the looks I think,” Hedy Lamarr"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,9825,QmREqmdufzLKWdmq5o5n1hUDiyarxzc9tCYGz47dTeKwUZ,Walter White aka Heisenberg,"Walter Hartwell White Sr., also known by his clandestine alias Heisenberg, is the main protagonist of the television series Breaking Bad. 
This is our tribute to one of the most iconic characters of our time. 
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,9746,Qmc6gUUWweyW1oRv8z894QWE8q5exteucrr3T81t8tCjXL,"Kim Jong Un - ""Dead and Alive"" Edition","Like Schrödinger's cat, until we open the dictatorship box he's both alive and dead. :)
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,9243,QmfQvzEtgAWhEskAXY5j8JgJ7Vaai7DKbARJLxuoB6bspm,Happy-END,"Happy-END eyes are wide apart and they can see further than any other regular set of eyes. But seeing too far, too wide and too clear isn't always good. 
“Why is a raven like a writing-desk?” 
Breathe. And shake it out. Shake it, sh-sh shake it! 

In this piece, Hackatao uses VR for the first time, combining it with their traditional drawing technique. The use of Tilt Brush is purposely carried to the extreme, recalling the creation of a child in “wonderland” and translating the surreal feelings of this moment. The music, by Lilsiri.eth from ETHGANG, contributes to this apotheosis of colors and glitters. While the VR helps the transition through two different realities, at the end of the video relieved and light.

Read full article by Eleonora Brizi on: https://beta.cent.co/+6xpu7m"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,8810,QmSXMKg5pERfqFVL3U1kLAtmrYZBvh4dBFN84PDnynYA1m,Saddy Bel,"""To the mind that is still, the whole universe surrenders""
Lao Tzu

Music by Lilsiri.eth"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,8584,QmcVQn1fU7jizVUbvSVYBhfSpfsKJS4q1CWoAbwUAwSH2v,Eyeball Juice,"Cave! Cave! Deus videt.
Eyes that have escaped from their orbits in a nuclear explosion become liquid, eyeball juice, dense matter vapor in transmutation. In a tripartite apocalyptic division of the compositional space, archetypal creatures move tangled, interconnected squids, interspersed insects, ineffable Podmork and floating nipples.

This video is the first ever tokenized by Hackatao.
The music was made specifically for the video by  by Matermanto
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,7923,QmNRv86wxK3HNKdWtZN9Lr8S55FCkhDf1KxdoLwiSHXZLf,Ra'red-eyed Frog,"“That's one small step for a man, a giant leap for mankind,” Neil Armstrong said when setting foot on the Moon. Although giant, this leap was not the solution. We cannot just change planet, we must change the planet we already inhabit, starting with ourselves. 

The leaf on which our Ra’red-eyed Frog leaps is the arrow pointing to a new direction, the heart giving a new rhythm to our reality with its beat.

Read full article by Chiara Braidotti on https://beta.cent.co/+oyzg53"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,7294,QmNZrSjEGorcAGDvz9UHYpoh21BgEAFw7Njb9Mpt6kZd21,Nuda Veritas,"Despite post-truth scenarios, Hackatao devoted an exhibition to the truth: The Truth Is, on at Zanini Arte, Mantova, 2019-2020. Many works displayed come to life through AR, and paradigmatic of the whole exhibition is Nuda Veritas, first artwork presented at the Booming Contemporary Art Show in Bologna as both physical piece and animated gif tokenized on SuperRare.
Elegant, bare, personified truth awaits as a rich allegory at the threshold of an unknown dimension. Her motion reminds of Foucault’s pendulum while echoing with the inexorable ticking of a grandfather clock, hinting at the Earth’s rotation and the passing of time. In fact, Hackatao’s truth is relative, subject to the changing winds and seasons as the roses she holds.
However limited by the very system that originates it, naked truth shows herself to those who know how to look at reality. As for cryptoart, tokenizing an artwork equates to certifying a small portion of truth for the collectors who believe in it, always ready to track down each unique manifestation of nuda veritas they find.
Read full article by Chiara Braidotti on https://medium.com/@hackatao/nuda-veritas-a0dc56b5010b

Animated GIF 1230x2048
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,7070,QmTNCm8UE2LZFfaCsqdjGyrBS8BDEi6caTZur6DqczQvTz,Iä! Iä! Cthulhu fhtagn!,"Straight from H. P. Lovecraft’s lines, Cthulhu came as a dream, or rather, as a nightmare urging Hackatao to wake up to art.
Cthulhu’s hybrid nature, as divinity and priest, the way it lays dormant beyond death itself and its influence on humankind through psychic power are compelling. The alluring monster surfaces from a vortex of endless repetition: ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn is the mantra, as for Tibetan prayer wheels. Central, inescapable, crowned in sharp fangs, its wide mouth opens over the absolute vastness of a black hole, the very womb of the universe. The figure has a small heart on its chest. It is pitch black, but couldn’t it be the dot of good within the negative half of the Tao, the sign of love hacking hatred?
What is certain is that Cthulhu is a demon as both a devil and a genius to Hackatao: as talent itself, it may lay dormant for a long time, but once waken by the cry “ia, ia, Cthulhu fhtagn,” no artist can resist its call.
Read full article by Chiara Braidotti on
https://medium.com/@hackatao/ia-ia-cthulhu-fhtagn-7e193d7ee6bc

Animated GIF 1300x1300"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,6836,QmP4TciCn9xU3AubMBBv4CwhRLmZe92iSR5dd4axhXjg3C,WWIII (End of Trilogy),"""It doesn't take the most powerful nations on Earth to create the next global conflict. Just the will of a single man.""
Vladimir Makarov - Call of Duty WWIII

Is this just another movie or video game? Another stream of memes on social media that will vanish in a few hours? Or are we headed for a real WWIII? 

The new decade opens with strong winds of war. Crazy Commander-in-Chief Donald Trump is ready to sacrifice his G.I. Joe and who knows how many thousands of civilians for his personal gain. 

And as the flags burn in the squares in a shout for revenge, our minds are darkened thinking about the future of our children. 

Footage into the glasses grab from Global News on Youtube: 
""Death to U.S."" Anger in Tehran following targeted killing of top Iranian commander. 
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,6750,QmNknv1Cw3F68S81JwahyYDxCVMWPC6vWvzecGT8Zko4Js,St Mary 3Eyes,"Saint Mary 3Eyes is the Mother Goddess, a personification of nature, motherhood, fertility, creation, destruction. She embodies the bounty of the Earth. 

With her third eye, St Mary is able to perceive invisible realities beyond ordinary vision."
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,6524,QmXRFBdQHqUKFjyt8GcM45LdU4bAqaNbo8qHibQpRFbpAn,La Fée Verte,"Each of us has a demon behind the door waiting for him. 
Sooner or later you'll see the Green Fairy with the key. 
It's up to you to open or not to open the door.

In literature "" La Fée Verte"" (the ""green fairy"") is commonly referred to the Absinthe. 
It was particularly associated with artists and writers, and may have provided a creative spark for their work. Henri de Toulouse-Lautrec, Vincent van Gogh and Oscar Wilde were all known drinkers.

Animated Gif 1600x1316px"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,6353,QmZvQZmKdLZhYdaZbT3BrxUX61aTdkgrLHwYVmCbeTnRFe,Screens: An exploration,"Sketch made by Boris Toledo Doorm in preparation for DADA's collaborative live art performance at Tate Modern, London."
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,6176,QmdoyKaH4csqFion53dcdr9pHRx7JhdBntMbtGDJGDU9mW,VR.Girl,"Virtual Reality. Will it be the dawn of a new everything? 
Worlds where everything is possible or just a way to escape the new real dystopias?

On VR headset: 
Cryptovoxels.com - GanGnam Neon Zone 9 Hook Street
https://www.cryptovoxels.com/play?coords=W@246E,435N
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,6024,QmNUVQfmHVCafjyVhkrB5o6UuwCsS7fVyDaJptBSiZW5wL,PoopArt,"Short history of art:
Cattelan (Duchamp) + Banana (Warhol) + Datuna = 'Artist's Shit' Piero Manzoni 1961

Shit always happen 

Animated Gif 2000x2000px 8mb"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,6001,QmaCSzLXaDcVytjEXkw3WUzCZnWm5CCzBBQUaFHN4aN3K2,Z.Girl,"Zombies are part of the pop culture of our times. They are represented in the movies, TV series, but also analyzed by philosophy, literature and art. 
What do they represent for us human beings? 
The possible end of civilization because of the man who does not rise above his primary instincts? 
And we want to talk about that horde of hungry zombies following celebrities on social networks? 

A creature without thought that makes us think deeply about the serious and facetious dramas of humanity. 

This artwork is connected to its original on canvas via AR on ArtiviveApp
Animated GIF 1900x1329px 46mb"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,5820,QmQUZyapdmXg9PthRSBE9rzzcHjEsofqZQ7EvYbDZHkige,Art Never Dies ,"Art will never die, at least until there will be an intelligent being creating it or enjoying it. 
New life is born from what has died and passed through: new art manifesting in new paradigms (Like the Cryptoart). 

The animated GIF of Art never Dies is connected through Augmented Reality with its original physical matrix on canvas, thus becoming the digital Doppelgänger. 

Art Never Dies on canvas appeared for the first time at our solo exhibition ""THE TRUTH IS."" at Zanini Art Gallery - December 2019.  

Limited editions of 23, based on the original canvas artwork and produced by MoCDA as part of the “In The Studio” series curated by Eleonora Brizi, are presented for the first time at Cadaf Art Fair in Miami, 2019.

Animated GIF 1200x1200px "
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,5593,QmSStycPRo8Vq9vRUn9V56LY8STQQ3vJyGmuHJe5sb8Pup,Mrs. Skull,Till death do us part.
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,5594,Qmaqu7DjnEQvGvHJ7em35UwNAfh5kP2dnhrjBv3ZXRrWYN,Mr. Skull,Till death do us part.
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,5437,QmU6H6dsr2iQckf6KAJFDcbkggb1mL3UucGVFXrqjhQ2v2,CryptoKittyMork,"We hacked a cryptokitty's DNA and mixed it with one of our Podmork. The result is a unique and extremely rare CryptoKittyMork (1 digital artwork and 1 on canvas, which are connected by the umbilical cord of Augmented Reality). 

This is a work of contamination between worlds, a genetic experiment that tells the story of Crypto collectibles, NFTs and Cryptoart. 

IN CRYPTO WE TRUST"
